Game,MetacriticScore,UserScore
alanwake,83,8.0
costumequest,77,8.0
supermeatboy,87,8.2
torchlight,83,7.9
worldofgoo,90,8.4
torchlightii,88,8.5
legendofgrimrock,82,8.1
littleinferno,68,7.5
shadowrunreturns,76,7.4
transistor,83,8.4
nuclearthrone,89,7.8
roguelegacy,85,7.9
verdun,70,7.7
aquanoxdeepdescent,65,7.7
hyperlightdrifter,84,8.2
towerfallascension,87,6.9
grandtheftautov,96,7.8
iracing,79,6.7
subnautica,87,8.6
towerofguns,76,7.2
imagineearth,78,7.5
soma,84,8.5
thiswarofmine,83,8.3
rebelgalaxy,75,7.5
rimworld,87,8.9
sokobond,82,7.6
thefall,76,7.4
submerged,47,5.0
ironcast,75,7.2
superhot,82,7.6
aer,69,6.5
axiomverge,80,7.7
zombi,65,5.0
bigpharma,72,6.4
doodlegod,-1,3.8
innerspace,65,5.6
defunct,-1,7.8
elitedangerous,80,6.7
sheltered,62,5.1
trainvalley,69,7.6
barony,-1,6.7
hue,79,7.5
humanresourcemachine,78,8.0
shadowcomplexremastered,-1,7.3
crashlands,78,7.5
darksidersiideathinitiveedition,-1,7.6
hob,76,7.5
oxenfree,80,7.7
elex,67,7.0
chromagun,-1,7.9
slimerancher,81,8.0
conanexiles,68,6.5
gonner,81,6.6
asemblance,-1,-1
overcooked,81,7.8
campsunshine,-1,8.8
oxygennotincluded,86,8.2
parkitect,83,8.7
ruiner,75,7.6
solitairica,-1,6.6
haven,73,7.8
manifoldgarden,85,7.5
northgard,81,7.4
titanquestanniversaryedition,-1,8.0
totallyaccuratebattlesimulator,-1,7.7
helloneighbor,38,5.0
snakepass,71,7.2